,CLIENT NAME,CLIENT_LOCATION,REVIEW_TITLE,REVIEW_PARAGRAPH,REVIEW_SCORE,CLIENT_REVIEW_COUNT
0,Yannick MORTINIERA,FR,Excellent travail,None,Rated 5 out of 5 stars,1 review
1,MORGAN BABOULENE,FR,Intervention rapide conforme au devis…,"Intervention rapide conforme au devis annoncé, rien à redire, parfait",Rated 5 out of 5 stars,1 review
2,jean michel VINEL,FR,trés bon service,None,Rated 5 out of 5 stars,1 review
3,orfane Sahidibe,FR,Super service,None,Rated 5 out of 5 stars,1 review
4,olivier CHON,FR,efficace professionnel  au top merci,None,Rated 5 out of 5 stars,1 review
5,RW,FR,Fantastic experience with GameFix.fr!,"Fantastic experience!!We needed to replace a broken screen on a Nintendo Switch Lite and had an online quote from GameFix of 89€ which included all shipping costs.Upon creating our account, GameFix provided a postage label (Colissimo) for free and so we simply packed the device and attached the label and the postman picked it up from our letterbox!!  We were then able to track the parcel all the way to GameFix.  Within 24 hours of receiving the device GameFix confirmed the quote and we approved the work.The repair was completed and shipped 24 hours later and was in our hands the next day!The work appears to have been completed properly using a good replacement screen.Overall, I would not hesitate recommending GameFix to anyone needing a quick, no-hassle device repair!!They get 5 stars and then some...",Rated 5 out of 5 stars,4 reviews
6,Olivier Leroy,FR,Réparation Switch suite port charge HS…,"Réparation Switch suite port charge HS ultra rapide (5 jours ouvrés envoi A/R inclus). La switch fonctionne à nouveau parfaitement. Service rapide, professionnel et suivi impeccable. Je recommande vivement.",Rated 5 out of 5 stars,1 review
7,Carajujo,FR,Au top,Au top ! Changement du port Usb c de la switch invisible. Prise en charge même à distance nickel. Allez y les yeux fermés !,Rated 5 out of 5 stars,1 review
8,Dimi Maillet,FR,"Très pro, ma Switch refonctionne, merci","Très pro, ma Switch",Rated 5 out of 5 stars,6 reviews
9,Olivia watson,FR,"excellent,je suis tres content","excellent,je suis tres content. Merci Gamefix. love it",Rated 5 out of 5 stars,5 reviews
10,Sylvain,FR,Super rapide intervention   bravo,None,Rated 5 out of 5 stars,1 review
11,???,FR,Excellent service manette switch bouton…,Excellent service manette switch bouton ZL.ZRReparation rapide Prix correct Service client tres bienJe recommande,Rated 4 out of 5 stars,2 reviews
12,yves-laurent Kipre,FR,reparation nickel un peu plus long que…,reparation nickel un peu plus long que prévu. bon relationnel avec les clients adresse à garder et faire tourner.,Rated 4 out of 5 stars,1 review
13,manu,FR,Service au top,"Service au top, promesse tenue ! Quoi demander de plus ! Nintendo switch",Rated 5 out of 5 stars,1 review
