M‚tier;Grand secteur;Nombre de projets;Nombre de projets difficiles;Nombre de projets saisonniers
Agents administratifs et commerciaux des transports et du tourisme;Agriculture;110;50;100
Agents administratifs et commerciaux des transports et du tourisme;Industrie;120;40;100
Agents administratifs et commerciaux des transports et du tourisme;Construction;0;0;0
Agents administratifs et commerciaux des transports et du tourisme;Commerce;400;160;150
Agents administratifs et commerciaux des transports et du tourisme;Services aux entreprises;10190;3880;5370
Agents administratifs et commerciaux des transports et du tourisme;Services aux particuliers;5170;1590;4260
Agents d'entretien;Agriculture;80;30;70
Agents d'entretien;Industrie;5360;1770;1360
Agents d'entretien;Construction;760;430;170
Agents d'entretien;Commerce;400;190;90
Agents d'entretien;Services aux entreprises;82340;41410;16350
Agents d'entretien;Services aux particuliers;63350;18400;18810
Agents d'exploitation des transports;Agriculture;10;10;10
Agents d'exploitation des transports;Industrie;610;210;120
Agents d'exploitation des transports;Construction;120;110;0
Agents d'exploitation des transports;Commerce;610;250;70
Agents d'exploitation des transports;Services aux entreprises;4440;2760;530
Agents d'exploitation des transports;Services aux particuliers;400;180;90
Agents de gardiennage et de s‚curit‚;Agriculture;20;10;20
Agents de gardiennage et de s‚curit‚;Industrie;40;10;0
Agents de gardiennage et de s‚curit‚;Construction;100;40;20
Agents de gardiennage et de s‚curit‚;Commerce;60;20;10
Agents de gardiennage et de s‚curit‚;Services aux entreprises;35000;17280;7000
Agents de gardiennage et de s‚curit‚;Services aux particuliers;5130;1880;1970
Agriculteurs, ‚leveurs, sylviculteurs, b–cherons;Agriculture;81760;38930;65550
Agriculteurs, ‚leveurs, sylviculteurs, b–cherons;Industrie;500;290;320
Agriculteurs, ‚leveurs, sylviculteurs, b–cherons;Construction;250;120;90
Agriculteurs, ‚leveurs, sylviculteurs, b–cherons;Commerce;1340;660;1000
Agriculteurs, ‚leveurs, sylviculteurs, b–cherons;Services aux entreprises;10350;6130;7150
Agriculteurs, ‚leveurs, sylviculteurs, b–cherons;Services aux particuliers;3450;1760;1300
Aides-soignants;Agriculture;80;10;50
Aides-soignants;Industrie;20;10;0
Aides-soignants;Construction;0;0;0
Aides-soignants;Commerce;350;220;70
